Spanish,English
de,from
que,that
no,no
a,to
el,the
y,Y
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,reflexive
te,tea
con,with
para,for
está,is (location/doing)
mi,me
pero,but
sí,Yes
si,Yes
bien,good
eso,that
su,his
las,the
yo,me
como,What
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,Let's go
algo,something
hay,there are
bueno,Okay
tengo,I have
él,he
cuando,when
estás,these
sé,i know
tú,your
nos,us
nada,any
cómo,What
este,this
o,or
he,i have
ser,to be
tiene,has
puedo,may l
ella,her
quiero,I want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo,alone
todos,everybody
porque,because
son,are
tienes,have
creo,I believe
voy,I go
sabes,know
estaba,I was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,truth
casa,House
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,Oh
favor,favor
mucho,much
mí,my
quieres,want
siento,I feel
señor,Mister
mejor,better
hace,does
has,you have (done something)
decir,to tell
también,too
sobre,about
dios,God
sin,without
tenemos,we have
están,they are
ti,you
puedes,can
ver,see
hombre,man
vida,life
alguien,someone
cosas,things
siempre,forever
hasta,until
ahí,there
ir,go
años,years
antes,before
estar,be
ni,neither
poco,little bit
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,He said
nadie,no one
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,happens
fuera,out of
después,after
han,they have
desde,from
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,have
estado,condition
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,making
donde,where
seguro,sure
sabe,knows
podemos,we can
tus,your
espera,waiting
nuevo,new
sido,been
cosa,thing
hijo,son
allí,there
menos,less
tipo,type
amigo,friend
gran,great
nuestro,our
mujer,woman
mamá,mother
luego,later
papá,father
días,days
dice,He says
tres,three
buena,good
necesito,needed
dije,said
oye,hears
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,you think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,evil
debe,should
realmente,Really
estas,are
